strain,sex,id,group,TCA_serum,DCA_serum,DCVG_serum,DCVC_serum,BUN,liver_adj,BrdU_liver,TCA_liver,DCA_liver,TCOH_liver,DCVG_liver,DCVC_liver,Acox1_liver,Cyp4a10_liver,Ppara_liver,kidney_adj,BrdU_kidney,KIM1_kidney,TCA_kidney,DCA_kidney,TCOH_kidney,DCVG_kidney,DCVC_kidney,Acox1_kidney,Cyp4a10_kidney,Ppara_kidney
129S1/SvImJ,m,071009_01,control,??,??,??,??,20.0,4.800,0.8,??,??,??,??,??,1.1,1,1.3,1.429,60.0,0.7,??,??,??,??,??,1.0,1.0,1.0
129S1/SvImJ,m,071009_02,control,??,??,??,??,21.2,4.500,1.3,??,??,??,??,??,1,1.4,1,1.364,50.0,0.7,??,??,??,??,??,1.1,1.1,1.1
129S1/SvImJ,m,071009_03,control,??,??,??,??,27.4,4.800,0.5,??,??,??,??,??,0.8,0.7,0.7,1.429,33.3,0.0,??,??,??,??,??,0.9,0.9,0.9
129S1/SvImJ,m,071009_04,control,??,??,??,??,24.6,4.800,1.5,??,??,??,??,??,,,,1.429,50.0,0.0,??,??,??,??,??,,,
129S1/SvImJ,m,071009_13,TCE,492.5,0.1,??,5.0,22.1,6.800,1.1,1047.3,0.8,680.9,26.7,??,2.4,9.6,1.2,1.579,58.3,7.8,558.8,0.8,2625.4,1.9,13.3,1.2,2.1,0.9
129S1/SvImJ,m,071009_14,TCE,490.9,0.1,2.2,2.9,21.9,5.700,6.2,1004.9,0.9,641.0,38.4,??,2.4,8.7,0.8,1.739,50.0,8.8,566.1,0.5,,2.4,22.2,1.3,2.1,0.8
129S1/SvImJ,m,071009_15,TCE,353.5,??,??,3.2,21.2,5.000,1.2,1061.9,0.8,835.3,21.6,??,,,,1.818,37.5,32.3,631.7,??,3832.8,1.4,12.0,1.4,2.0,0.8
129S1/SvImJ,m,071009_16,TCE,594.8,??,3.4,2.9,18.8,5.500,,1113.9,0.9,682.7,63.9,??,,,,2.000,,2.4,362.1,0.6,5200.5,3.4,18.9,,,
A/J,m,071009_05,control,??,??,??,??,16.2,4.783,0,??,??,??,??,??,1.3,0.9,1.3,1.739,41.2,0.4,??,??,??,??,??,0.6,0.5,0.5
A/J,m,071009_06,control,??,??,??,??,20.2,5.500,1.4,??,??,??,??,??,0.9,1.2,0.9,1.500,56.5,0.0,??,??,??,??,??,1.3,1.4,1.4
A/J,m,071009_07,control,??,??,??,??,15.1,5.790,2.2,??,??,??,??,??,0.8,0.9,0.8,1.579,52.4,0.0,??,??,??,??,??,1.2,1.1,1.2
A/J,m,071009_08,control,??,??,??,??,18.1,5.263,0.4,??,??,??,??,??,,,,1.579,47.4,0.0,??,??,??,??,??,,,
A/J,m,071009_17,TCE,415.1,0.2,??,3.3,13.1,5.000,1.2,1334.8,0.8,774.9,33.6,??,3.1,5.5,1.4,1.500,37.5,15.1,63.0,??,3155.6,1.1,??,0.7,1.3,0.7
A/J,m,071009_18,TCE,,,,,,4.286,0.2,2407.4,1.6,1685.7,34.2,??,4,14.1,0.9,1.429,37.5,0.7,305.6,1.0,1980.0,??,??,3.2,7.9,1.4
A/J,m,071009_19,TCE,779.8,0.1,??,??,18.7,5.294,0.9,1934.5,1.3,783.9,46.2,??,2.4,17,1,1.765,33.3,1.1,116.3,??,3324.3,4.7,??,1.4,4.0,1.4
A/J,m,071009_20,TCE,514.2,??,??,2.6,10.9,5.790,,1104.0,0.8,478.3,19.4,??,,,,1.579,,20.7,284.4,??,1834.5,1.8,??,,,
"BTBR T+ tf/J",m,062609_25,control,??,??,??,??,24.1,4.000,1.6,??,??,??,??,??,1.1,1.1,1.2,1.143,50.0,1.9,??,??,??,??,??,0.9,0.9,1.0
"BTBR T+ tf/J",m,062609_26,control,??,??,??,??,24.7,5.000,1.4,??,??,??,??,??,1,0.8,0.8,1.250,50.0,2.9,??,??,??,??,??,1.1,0.8,0.9
"BTBR T+ tf/J",m,062609_27,control,??,??,??,??,22.0,4.839,0.7,??,??,??,??,??,0.9,1.1,1,1.290,41.2,0.0,??,??,??,??,??,1.0,1.3,1.1
"BTBR T+ tf/J",m,062609_28,control,??,??,??,??,28.4,4.688,0.3,??,??,??,??,??,,,,1.250,56.5,3.1,??,??,??,??,??,,,
"BTBR T+ tf/J",m,062609_30,TCE,969.2,0.2,??,2.1,22.3,5.484,21.8,1374.5,1.5,491.7,17.9,??,3.7,10.9,1.3,1.290,44.4,11.3,1232.1,0.5,1420.8,??,9.3,0.9,1.2,0.8
"BTBR T+ tf/J",m,062609_31,TCE,1001.1,0.2,1.6,2.5,30.4,5.900,43.9,,,,,,2.8,10.7,1,1.481,76.2,6.9,,,,,,,,
"BTBR T+ tf/J",m,062609_32,TCE,914.2,0.1,??,3.0,32.3,5.500,7.6,1643.8,1.4,442.1,18.0,??,4.2,8.8,1.3,1.290,41.2,4.4,1534.2,0.6,1600.5,??,9.3,1.6,2.3,1.4
"BTBR T+ tf/J",m,062609_33,TCE,1091.0,0.3,??,2.0,31.5,5.900,16.2,1514.9,1.4,410.5,11.9,??,,,,1.379,37.5,6.8,676.2,??,2045.0,??,10.2,1.1,1.5,1.2
C57BL/6J,m,071009_09,control,??,??,??,??,23.7,5.500,0.5,??,??,??,??,??,1.1,1,1.1,1.000,52.4,0.3,??,??,??,??,??,1.1,1.1,1.3
